iter	Passed	Remaining
0	12	12628
1	21	10899
2	27	9125
3	35	8765
4	42	8510
5	48	8064
6	54	7726
7	59	7394
8	64	7047
9	71	7052
10	76	6842
11	79	6560
12	85	6456
13	88	6232
14	92	6069
15	95	5871
16	99	5758
17	103	5622
18	106	5511
19	110	5393
20	113	5303
21	116	5198
22	119	5086
23	122	4989
24	126	4931
25	129	4860
26	132	4783
27	136	4724
28	139	4668
29	142	4609
30	145	4559
31	148	4507
32	152	4460
33	157	4481
34	162	4493
35	166	4452
36	170	4431
37	174	4406
38	183	4511
39	196	4711
40	203	4759
41	208	4754
42	212	4724
43	215	4692
44	221	4705
45	225	4676
46	229	4651
47	232	4619
48	237	4601
49	240	4569
50	244	4543
51	247	4512
52	251	4496
53	257	4503
54	260	4478
55	264	4452
56	267	4423
57	273	4435
58	277	4419
59	280	4395
60	284	4386
61	288	4362
62	293	4364
63	296	4342
64	301	4343
65	306	4334
66	311	4338
67	319	4379
68	323	4369
69	328	4360
70	331	4341
71	336	4335
72	340	4321
73	345	4318
74	349	4308
75	352	4289
76	356	4278
77	360	4261
78	364	4249
79	369	4254
80	376	4276
81	381	4268
82	384	4246
83	388	4232
84	391	4212
85	394	4197
86	398	4181
87	403	4185
88	407	4166
89	410	4150
90	416	4158
91	420	4151
92	423	4132
93	427	4122
94	431	4108
95	435	4098
96	438	4079
97	442	4068
98	445	4055
99	448	4040
100	452	4028
101	456	4015
102	459	4002
103	463	3989
104	467	3983
105	470	3970
106	474	3957
107	477	3945
108	481	3935
109	484	3922
110	488	3913
111	491	3899
112	495	3890
113	498	3875
114	501	3863
115	505	3848
116	508	3836
117	511	3822
118	514	3809
119	517	3795
120	520	3782
121	523	3769
122	527	3757
123	530	3744
124	533	3732
125	536	3719
126	539	3708
127	542	3695
128	545	3681
129	548	3670
130	551	3657
131	554	3643
132	557	3633
133	560	3620
134	563	3608
135	565	3594
136	568	3581
137	571	3568
138	574	3556
139	576	3543
140	579	3533
141	582	3520
142	585	3508
143	588	3498
144	591	3485
145	593	3473
146	596	3463
147	599	3452
148	602	3440
149	605	3429
150	608	3420
151	611	3411
152	614	3400
153	616	3389
154	619	3379
155	622	3368
156	625	3357
157	628	3348
158	631	3338
159	633	3327
160	637	3319
161	639	3309
162	643	3301
163	645	3292
164	648	3282
165	652	3276
166	654	3266
167	658	3259
168	661	3251
169	663	3241
170	667	3234
171	669	3225
172	673	3217
173	676	3210
174	679	3201
175	682	3193
176	685	3186
177	688	3177
178	691	3170
179	693	3161
180	697	3154
181	700	3147
182	703	3138
183	706	3133
184	709	3124
185	712	3116
186	715	3108
187	717	3100
188	721	3093
189	724	3088
190	727	3081
191	730	3074
192	733	3068
193	736	3061
194	739	3054
195	743	3048
196	746	3043
197	750	3040
198	754	3036
199	758	3033
200	761	3026
201	765	3023
202	768	3018
203	773	3017
204	777	3013
205	780	3009
206	784	3006
207	790	3008
208	793	3003
209	797	3001
210	801	2997
211	806	2997
212	809	2991
213	813	2988
214	817	2984
215	822	2985
216	826	2980
217	830	2978
218	833	2973
219	838	2974
220	842	2968
221	845	2962
222	849	2959
223	853	2958
224	858	2956
225	862	2954
226	866	2952
227	871	2949
228	874	2943
229	878	2939
230	882	2936
231	886	2935
232	890	2930
233	894	2927
234	898	2924
235	902	2922
236	906	2918
237	912	2920
238	916	2919
239	921	2917
240	924	2911
241	929	2910
242	933	2909
243	937	2906
244	943	2906
245	947	2905
246	951	2901
247	954	2895
248	959	2895
249	964	2892
250	968	2889
251	971	2883
252	976	2882
253	980	2879
254	984	2876
255	987	2870
256	992	2870
257	997	2868
258	1001	2865
259	1005	2860
260	1009	2858
261	1014	2858
262	1018	2853
263	1022	2851
264	1026	2847
265	1031	2845
266	1034	2838
267	1038	2836
268	1042	2834
269	1047	2831
270	1050	2825
271	1054	2823
272	1058	2819
273	1063	2816
274	1066	2810
275	1070	2808
276	1074	2804
277	1079	2802
278	1082	2796
279	1086	2794
280	1091	2792
281	1095	2788
282	1098	2782
283	1103	2782
284	1108	2780
285	1111	2775
286	1115	2770
287	1120	2770
288	1125	2769
289	1129	2765
290	1134	2764
291	1140	2766
292	1144	2761
293	1148	2757
294	1152	2754
295	1156	2751
296	1160	2747
297	1165	2744
298	1168	2740
299	1174	2739
300	1177	2734
301	1181	2731
302	1185	2727
303	1250	2862
304	1265	2883
305	1278	2898
306	1289	2910
307	1301	2925
308	1312	2935
309	1332	2966
310	1341	2972
311	1349	2974
312	1354	2973
313	1358	2968
314	1365	2968
315	1369	2964
316	1373	2958
317	1378	2956
318	1382	2952
319	1386	2945
320	1389	2939
321	1395	2937
322	1399	2933
323	1402	2926
324	1405	2919
325	1410	2916
326	1413	2909
327	1417	2904
328	1420	2897
329	1424	2891
330	1429	2888
331	1432	2883
332	1436	2876
333	1439	2870
334	1443	2865
335	1447	2860
336	1450	2854
337	1453	2847
338	1457	2842
339	1462	2838
340	1466	2834
341	1469	2827
342	1473	2821
343	1477	2816
344	1481	2811
345	1484	2805
346	1488	2800
347	1492	2795
348	1496	2790
349	1499	2784
350	1502	2778
351	1506	2773
352	1510	2768
353	1514	2762
354	1517	2756
355	1521	2751
356	1525	2747
357	1530	2744
358	1537	2745
359	1544	2745
360	1548	2740
361	1552	2735
362	1555	2730
363	1559	2724
364	1567	2727
365	1571	2722
366	1575	2717
367	1580	2714
368	1584	2710
369	1591	2710
370	1597	2708
371	1602	2705
372	1607	2701
373	1611	2697
374	1615	2692
375	1620	2689
376	1624	2685
377	1628	2679
378	1632	2674
379	1636	2670
380	1639	2663
381	1642	2657
382	1645	2651
383	1649	2646
384	1653	2640
385	1656	2634
386	1660	2629
387	1664	2625
388	1668	2620
389	1672	2615
390	1676	2610
391	1679	2605
392	1683	2600
393	1687	2596
394	1692	2591
395	1696	2587
396	1701	2583
397	1704	2578
398	1708	2574
399	1712	2568
400	1716	2563
401	1719	2558
402	1723	2553
403	1727	2548
404	1730	2543
405	1735	2539
406	1740	2535
407	1743	2530
408	1748	2525
409	1751	2520
410	1755	2515
411	1759	2511
412	1767	2511
413	1772	2509
414	1777	2505
415	1783	2503
416	1787	2499
417	1791	2494
418	1794	2488
419	1799	2484
420	1803	2480
421	1808	2477
422	1813	2473
423	1816	2468
424	1822	2465
425	1828	2464
426	1836	2464
427	1840	2460
428	1845	2456
429	1850	2452
430	1854	2448
431	1858	2443
432	1862	2438
433	1867	2435
434	1872	2431
435	1875	2426
436	1881	2424
437	1886	2420
438	1891	2417
439	1897	2414
440	1902	2411
441	1907	2408
442	1913	2405
443	1918	2402
444	1923	2399
445	1928	2395
446	1932	2390
447	1936	2385
448	1939	2380
449	1943	2375
450	1948	2372
451	1953	2368
452	1958	2364
453	1962	2360
454	1966	2355
455	1970	2350
456	1973	2345
457	1976	2339
458	1982	2336
459	1986	2332
460	1990	2327
461	1994	2323
462	1998	2317
463	2002	2312
464	2005	2307
465	2009	2302
466	2013	2297
467	2018	2294
468	2022	2289
469	2027	2285
470	2031	2281
471	2035	2276
472	2039	2272
473	2043	2267
474	2046	2262
475	2050	2257
476	2054	2252
477	2058	2248
478	2063	2244
479	2067	2239
480	2073	2237
481	2079	2234
482	2084	2231
483	2088	2226
484	2092	2221
485	2096	2217
486	2100	2212
487	2106	2209
488	2111	2206
489	2116	2202
490	2121	2199
491	2126	2195
492	2130	2190
493	2134	2186
494	2138	2181
495	2143	2178
496	2147	2173
497	2153	2170
498	2157	2166
499	2161	2161
500	2164	2156
501	2168	2151
502	2171	2145
503	2175	2140
504	2178	2135
505	2181	2130
506	2185	2125
507	2189	2120
508	2193	2116
509	2197	2111
510	2201	2106
511	2204	2101
512	2207	2095
513	2210	2090
514	2213	2084
515	2216	2079
516	2219	2073
517	2223	2068
518	2226	2063
519	2229	2058
520	2232	2052
521	2236	2047
522	2239	2042
523	2243	2037
524	2246	2032
525	2251	2028
526	2254	2023
527	2257	2018
528	2261	2013
529	2266	2009
530	2269	2004
531	2273	2000
532	2277	1995
533	2282	1991
534	2287	1987
535	2290	1983
536	2294	1978
537	2299	1974
538	2303	1969
539	2306	1964
540	2310	1960
541	2314	1955
542	2318	1951
543	2322	1946
544	2326	1942
545	2330	1938
546	2334	1933
547	2338	1928
548	2341	1923
549	2345	1919
550	2349	1914
551	2353	1910
552	2357	1905
553	2361	1901
554	2365	1896
555	2369	1892
556	2373	1887
557	2377	1883
558	2381	1878
559	2384	1873
560	2388	1869
561	2392	1864
562	2396	1860
563	2400	1855
564	2403	1850
565	2407	1845
566	2410	1840
567	2413	1835
568	2416	1830
569	2419	1825
570	2422	1820
571	2425	1815
572	2428	1809
573	2432	1805
574	2435	1799
575	2438	1794
576	2441	1789
577	2444	1784
578	2447	1779
579	2450	1774
580	2453	1769
581	2456	1764
582	2459	1758
583	2462	1753
584	2465	1748
585	2468	1744
586	2472	1739
587	2475	1734
588	2478	1729
589	2481	1724
590	2484	1719
591	2487	1714
592	2490	1709
593	2493	1704
594	2495	1698
595	2498	1693
596	2501	1688
597	2504	1683
598	2507	1678
599	2510	1673
600	2513	1668
601	2516	1663
602	2519	1658
603	2521	1653
604	2524	1648
605	2527	1643
606	2530	1638
607	2532	1633
608	2535	1628
609	2538	1623
610	2541	1617
611	2543	1612
612	2546	1607
613	2549	1602
614	2552	1597
615	2555	1592
616	2558	1587
617	2560	1582
618	2566	1579
619	2569	1575
620	2573	1570
621	2576	1565
622	2579	1561
623	2582	1556
624	2585	1551
625	2588	1546
626	2592	1542
627	2595	1537
628	2599	1533
629	2602	1528
630	2605	1523
631	2608	1519
632	2612	1514
633	2616	1510
634	2620	1506
635	2623	1501
636	2627	1497
637	2630	1492
638	2633	1487
639	2636	1483
640	2639	1478
641	2642	1473
642	2645	1468
643	2648	1463
644	2652	1459
645	2655	1455
646	2660	1451
647	2664	1447
648	2669	1443
649	2672	1439
650	2677	1435
651	2681	1431
652	2687	1428
653	2691	1424
654	2696	1420
655	2702	1417
656	2706	1412
657	2710	1408
658	2714	1404
659	2719	1400
660	2724	1397
661	2729	1393
662	2732	1388
663	2735	1384
664	2740	1380
665	2744	1376
666	2753	1374
667	2759	1371
668	2763	1367
669	2768	1363
670	2773	1359
671	2777	1355
672	2781	1351
673	2786	1347
674	2791	1343
675	2795	1339
676	2800	1336
677	2811	1335
678	2817	1332
679	2822	1328
680	2826	1323
681	2830	1319
682	2835	1316
683	2840	1312
684	2844	1308
685	2849	1304
686	2852	1299
687	2856	1295
688	2859	1290
689	2865	1287
690	2869	1283
691	2873	1278
692	2877	1274
693	2881	1270
694	2885	1266
695	2888	1261
696	2893	1257
697	2897	1253
698	2901	1249
699	2905	1245
700	2909	1240
701	2912	1236
702	2916	1232
703	2920	1227
704	2923	1223
705	2926	1218
706	2929	1214
707	2934	1210
708	2937	1205
709	2940	1201
710	2943	1196
711	2946	1191
712	2949	1187
713	2952	1182
714	2955	1178
715	2958	1173
716	2961	1169
